company_name,website,icp_score,score_breakdown,facility_location,city,state_region,country,lat,lon,facility_type,classification_basis,confidence,needs_verification,source_url,source_type,source_count,osint_corroboration,primary_source_tier,reclassification_note,confidence_boost_reason,source_tier_breakdown,osint_breakdown,date_collected
Cargill,cargill.com,10,"{'total': 10, 'industry_fit': {'dimension': 'Industry Fit', 'score': 4, 'max_score': 4, 'evidence': 'Tier-4 process industry: beverages, meat processing', 'confidence': 'HIGH'}, 'operational_scale': {'dimension': 'Operational Scale', 'score': 3, 'max_score': 3, 'evidence': '160,000 (2024) December 2024 announces layoffs at Wayzata HQ, glob employees, (2022) revenue — enterprise scale with dedicated maintenance/reliability function and capex for PdM.', 'confidence': 'HIGH'}, 'physical_footprint': {'dimension': 'Physical Footprint', 'score': 2, 'max_score': 2, 'evidence': '10 industrial facilities discovered (plants/mines/refineries) — deep footprint, large sensor expansion potential.', 'confidence': 'HIGH'}, 'equipment_dependency': {'dimension': 'Equipment Dependency', 'score': 1, 'max_score': 1, 'evidence': 'Rotating machinery indicators found: conveyor. These are exactly what Tractian sensors monitor.', 'confidence': 'MED'}, 'score_confidence': 'HIGH', 'plain_english': ""Cargill scored 10/10 on Tractian's ICP rubric. | Industry Fit 4/4: Tier-4 process industry: beverages, meat processing | Operational Scale 3/3: 160,000 (2024) December 2024 announces layoffs at Wayzata HQ, glob employees, (2022) revenue — enterprise scale with dedicated maintenance/reliability function and capex for PdM. | Physical Footprint 2/2: 10 industrial facilities discovered (plants/mines/refineries) — deep footprint, large sensor expansion potential. | Equipment Dependency 1/1: Rotating machinery indicators found: conveyor. These are exactly what Tractian sensors monitor. | RECOMMENDATION: High-priority target.""}","Dodge City, USA",Dodge City,Kansas,USA,37.7527982,-100.0170787,Processing Plant,beef processing plant that separates meat from bone,HIGH,False,https://www.cargill.com/story/future-protein-operations,WEBSITE,1,strong,8,,,"{'total': 8, 'domain': {'points': 4, 'max': 5, 'label': 'Company-own domain'}, 'quote': {'points': 4, 'max': 5, 'raw_length': 113, 'components': [{'name': 'Length', 'points': 1, 'max': 2, 'detail': '113 chars (medium)'}, {'name': 'Company name in quote', 'points': 0, 'max': 1, 'detail': 'absent'}, {'name': 'City in quote', 'points': 1, 'max': 1, 'detail': 'present'}, {'name': 'Country in quote', 'points': 0, 'max': 1, 'detail': 'absent'}, {'name': 'Industrial keywords', 'points': 2, 'max': 2, 'detail': 'processing, plant'}]}}","{'strength': 'strong', 'hit_count': 9, 'max_hit_score': 6, 'sample_urls': ['https://www.cargill.com/story/future-protein-operations', 'https://www.meatpoultry.com/articles/28510-sneak-peek-cargills-facility-of-the-future-becomes-a-reality', 'https://www.supermarketperimeter.com/articles/9759-cargill-shares-a-preview-of-its-facility-of-the-future-program', 'https://www.meatpoultry.com/articles/28612-game-changing', 'https://www.drovers.com/news/industry/roof-collapse-shutters-cargills-dodge-city-beef-plant'], 'category': 'industrial'}",2026-04-16
Cargill,cargill.com,10,"{'total': 10, 'industry_fit': {'dimension': 'Industry Fit', 'score': 4, 'max_score': 4, 'evidence': 'Tier-4 process industry: beverages, meat processing', 'confidence': 'HIGH'}, 'operational_scale': {'dimension': 'Operational Scale', 'score': 3, 'max_score': 3, 'evidence': '160,000 (2024) December 2024 announces layoffs at Wayzata HQ, glob employees, (2022) revenue — enterprise scale with dedicated maintenance/reliability function and capex for PdM.', 'confidence': 'HIGH'}, 'physical_footprint': {'dimension': 'Physical Footprint', 'score': 2, 'max_score': 2, 'evidence': '10 industrial facilities discovered (plants/mines/refineries) — deep footprint, large sensor expansion potential.', 'confidence': 'HIGH'}, 'equipment_dependency': {'dimension': 'Equipment Dependency', 'score': 1, 'max_score': 1, 'evidence': 'Rotating machinery indicators found: conveyor. These are exactly what Tractian sensors monitor.', 'confidence': 'MED'}, 'score_confidence': 'HIGH', 'plain_english': ""Cargill scored 10/10 on Tractian's ICP rubric. | Industry Fit 4/4: Tier-4 process industry: beverages, meat processing | Operational Scale 3/3: 160,000 (2024) December 2024 announces layoffs at Wayzata HQ, glob employees, (2022) revenue — enterprise scale with dedicated maintenance/reliability function and capex for PdM. | Physical Footprint 2/2: 10 industrial facilities discovered (plants/mines/refineries) — deep footprint, large sensor expansion potential. | Equipment Dependency 1/1: Rotating machinery indicators found: conveyor. These are exactly what Tractian sensors monitor. | RECOMMENDATION: High-priority target.""}","Newnan, USA",Newnan,Georgia,USA,33.3806716,-84.7996573,Processing Plant,protein facility for case-ready meat processing,HIGH,False,https://www.cargill.com/story/future-protein-operations,WEBSITE,1,strong,7,,,"{'total': 7, 'domain': {'points': 4, 'max': 5, 'label': 'Company-own domain'}, 'quote': {'points': 3, 'max': 5, 'raw_length': 101, 'components': [{'name': 'Length', 'points': 1, 'max': 2, 'detail': '101 chars (medium)'}, {'name': 'Company name in quote', 'points': 1, 'max': 1, 'detail': 'present'}, {'name': 'City in quote', 'points': 1, 'max': 1, 'detail': 'present'}, {'name': 'Country in quote', 'points': 0, 'max': 1, 'detail': 'absent'}, {'name': 'Industrial keywords', 'points': 0, 'max': 2, 'detail': 'none matched'}]}}","{'strength': 'strong', 'hit_count': 10, 'max_hit_score': 6, 'sample_urls': ['https://www.cargill.com/story/future-protein-operations', 'https://careers.cargill.com/en/newnan-ga', 'https://careers.cargill.com/en/location/newnan-jobs/23251/6252001-4197000-4212684/4', 'https://choosecoweta.com/wp-content/uploads/2021/02/PresidentsReport.pdf', 'https://www.linkedin.com/in/brian-taylor-b7204558/'], 'category': 'industrial'}",2026-04-16
Cargill,cargill.com,10,"{'total': 10, 'industry_fit': {'dimension': 'Industry Fit', 'score': 4, 'max_score': 4, 'evidence': 'Tier-4 process industry: beverages, meat processing', 'confidence': 'HIGH'}, 'operational_scale': {'dimension': 'Operational Scale', 'score': 3, 'max_score': 3, 'evidence': '160,000 (2024) December 2024 announces layoffs at Wayzata HQ, glob employees, (2022) revenue — enterprise scale with dedicated maintenance/reliability function and capex for PdM.', 'confidence': 'HIGH'}, 'physical_footprint': {'dimension': 'Physical Footprint', 'score': 2, 'max_score': 2, 'evidence': '10 industrial facilities discovered (plants/mines/refineries) — deep footprint, large sensor expansion potential.', 'confidence': 'HIGH'}, 'equipment_dependency': {'dimension': 'Equipment Dependency', 'score': 1, 'max_score': 1, 'evidence': 'Rotating machinery indicators found: conveyor. These are exactly what Tractian sensors monitor.', 'confidence': 'MED'}, 'score_confidence': 'HIGH', 'plain_english': ""Cargill scored 10/10 on Tractian's ICP rubric. | Industry Fit 4/4: Tier-4 process industry: beverages, meat processing | Operational Scale 3/3: 160,000 (2024) December 2024 announces layoffs at Wayzata HQ, glob employees, (2022) revenue — enterprise scale with dedicated maintenance/reliability function and capex for PdM. | Physical Footprint 2/2: 10 industrial facilities discovered (plants/mines/refineries) — deep footprint, large sensor expansion potential. | Equipment Dependency 1/1: Rotating machinery indicators found: conveyor. These are exactly what Tractian sensors monitor. | RECOMMENDATION: High-priority target.""}","Amsterdam, Netherlands",Amsterdam,,Netherlands,52.3730796,4.8924534,Refinery,multiseed crush and refinery plant for separating liquids from solids,HIGH,False,https://www.cargill.com/story/reinventing-operations-resilient-food-system,WEBSITE,1,strong,8,,,"{'total': 8, 'domain': {'points': 4, 'max': 5, 'label': 'Company-own domain'}, 'quote': {'points': 4, 'max': 5, 'raw_length': 129, 'components': [{'name': 'Length', 'points': 1, 'max': 2, 'detail': '129 chars (medium)'}, {'name': 'Company name in quote', 'points': 0, 'max': 1, 'detail': 'absent'}, {'name': 'City in quote', 'points': 1, 'max': 1, 'detail': 'present'}, {'name': 'Country in quote', 'points': 0, 'max': 1, 'detail': 'absent'}, {'name': 'Industrial keywords', 'points': 2, 'max': 2, 'detail': 'refinery, plant'}]}}","{'strength': 'strong', 'hit_count': 10, 'max_hit_score': 6, 'sample_urls': ['https://www.cargill.com/2025/cargill-deploys-ai-powered-robot-dog-spot-at-amsterdam-facilit', 'https://www.iamsterdam.com/en/business/key-sectors-for-business/food/stories/cargill', 'https://www.cargill.nl/en/about-cargill', 'https://www.cargill.com/story/reinventing-operations-resilient-food-system', 'https://bostondynamics.com/case-studies/spot-at-cargill/'], 'category': 'industrial'}",2026-04-16
Cargill,cargill.com,10,"{'total': 10, 'industry_fit': {'dimension': 'Industry Fit', 'score': 4, 'max_score': 4, 'evidence': 'Tier-4 process industry: beverages, meat processing', 'confidence': 'HIGH'}, 'operational_scale': {'dimension': 'Operational Scale', 'score': 3, 'max_score': 3, 'evidence': '160,000 (2024) December 2024 announces layoffs at Wayzata HQ, glob employees, (2022) revenue — enterprise scale with dedicated maintenance/reliability function and capex for PdM.', 'confidence': 'HIGH'}, 'physical_footprint': {'dimension': 'Physical Footprint', 'score': 2, 'max_score': 2, 'evidence': '10 industrial facilities discovered (plants/mines/refineries) — deep footprint, large sensor expansion potential.', 'confidence': 'HIGH'}, 'equipment_dependency': {'dimension': 'Equipment Dependency', 'score': 1, 'max_score': 1, 'evidence': 'Rotating machinery indicators found: conveyor. These are exactly what Tractian sensors monitor.', 'confidence': 'MED'}, 'score_confidence': 'HIGH', 'plain_english': ""Cargill scored 10/10 on Tractian's ICP rubric. | Industry Fit 4/4: Tier-4 process industry: beverages, meat processing | Operational Scale 3/3: 160,000 (2024) December 2024 announces layoffs at Wayzata HQ, glob employees, (2022) revenue — enterprise scale with dedicated maintenance/reliability function and capex for PdM. | Physical Footprint 2/2: 10 industrial facilities discovered (plants/mines/refineries) — deep footprint, large sensor expansion potential. | Equipment Dependency 1/1: Rotating machinery indicators found: conveyor. These are exactly what Tractian sensors monitor. | RECOMMENDATION: High-priority target.""}","Engerwitzdorf, Austria",Engerwitzdorf,,Austria,48.3444529,14.4420162,Manufacturing Plant,micronutrition and health solutions manufacturing facility for animal feed additives,HIGH,False,https://www.cargill.com/story/reinventing-operations-resilient-food-system,WEBSITE,1,strong,5,,,"{'total': 5, 'domain': {'points': 4, 'max': 5, 'label': 'Company-own domain'}, 'quote': {'points': 3, 'max': 5, 'raw_length': 160, 'components': [{'name': 'Length', 'points': 1, 'max': 2, 'detail': '160 chars (medium)'}, {'name': 'Company name in quote', 'points': 0, 'max': 1, 'detail': 'absent'}, {'name': 'City in quote', 'points': 1, 'max': 1, 'detail': 'present'}, {'name': 'Country in quote', 'points': 1, 'max': 1, 'detail': 'present'}, {'name': 'Industrial keywords', 'points': 0, 'max': 2, 'detail': 'none matched'}]}, 'quote_penalty': 2}","{'strength': 'strong', 'hit_count': 7, 'max_hit_score': 6, 'sample_urls': ['https://www.cargill.com/2025/cargill-animal-nutrition-health-increases-micronutrition', 'https://www.petfoodprocessing.net/articles/19853-cargill-ramps-up-micronutrient-business', 'https://www.webwire.com/ViewPressRel.asp?aId=346066', 'https://www.feedstuffs.com/agribusiness-news/cargill-anh-completes-micronutrition-facility-expansion', 'https://www.foodingredientsfirst.com/news/cargill-austria-feed-expansion.html'], 'category': 'industrial'}",2026-04-16
Cargill,cargill.com,10,"{'total': 10, 'industry_fit': {'dimension': 'Industry Fit', 'score': 4, 'max_score': 4, 'evidence': 'Tier-4 process industry: beverages, meat processing', 'confidence': 'HIGH'}, 'operational_scale': {'dimension': 'Operational Scale', 'score': 3, 'max_score': 3, 'evidence': '160,000 (2024) December 2024 announces layoffs at Wayzata HQ, glob employees, (2022) revenue — enterprise scale with dedicated maintenance/reliability function and capex for PdM.', 'confidence': 'HIGH'}, 'physical_footprint': {'dimension': 'Physical Footprint', 'score': 2, 'max_score': 2, 'evidence': '10 industrial facilities discovered (plants/mines/refineries) — deep footprint, large sensor expansion potential.', 'confidence': 'HIGH'}, 'equipment_dependency': {'dimension': 'Equipment Dependency', 'score': 1, 'max_score': 1, 'evidence': 'Rotating machinery indicators found: conveyor. These are exactly what Tractian sensors monitor.', 'confidence': 'MED'}, 'score_confidence': 'HIGH', 'plain_english': ""Cargill scored 10/10 on Tractian's ICP rubric. | Industry Fit 4/4: Tier-4 process industry: beverages, meat processing | Operational Scale 3/3: 160,000 (2024) December 2024 announces layoffs at Wayzata HQ, glob employees, (2022) revenue — enterprise scale with dedicated maintenance/reliability function and capex for PdM. | Physical Footprint 2/2: 10 industrial facilities discovered (plants/mines/refineries) — deep footprint, large sensor expansion potential. | Equipment Dependency 1/1: Rotating machinery indicators found: conveyor. These are exactly what Tractian sensors monitor. | RECOMMENDATION: High-priority target.""}","Sidney, USA",Sidney,Ohio,USA,40.284241,-84.1555267,Processing Plant,soybean crush and refined oils facility (oilseed processing),ESTIMATED,True,https://www.cargill.com/2023/cargills-newly-expanded-soybean-processing-plant-in-sidney,WEBSITE,1,none,7,,,"{'total': 7, 'domain': {'points': 4, 'max': 5, 'label': 'Company-own domain'}, 'quote': {'points': 3, 'max': 5, 'raw_length': 135, 'components': [{'name': 'Length', 'points': 1, 'max': 2, 'detail': '135 chars (medium)'}, {'name': 'Company name in quote', 'points': 1, 'max': 1, 'detail': 'present'}, {'name': 'City in quote', 'points': 1, 'max': 1, 'detail': 'present'}, {'name': 'Country in quote', 'points': 0, 'max': 1, 'detail': 'absent'}, {'name': 'Industrial keywords', 'points': 0, 'max': 2, 'detail': 'none matched'}]}}","{'strength': 'none', 'hit_count': 0, 'max_hit_score': 0, 'sample_urls': [], 'category': 'industrial'}",2026-04-16
Cargill,cargill.com,10,"{'total': 10, 'industry_fit': {'dimension': 'Industry Fit', 'score': 4, 'max_score': 4, 'evidence': 'Tier-4 process industry: beverages, meat processing', 'confidence': 'HIGH'}, 'operational_scale': {'dimension': 'Operational Scale', 'score': 3, 'max_score': 3, 'evidence': '160,000 (2024) December 2024 announces layoffs at Wayzata HQ, glob employees, (2022) revenue — enterprise scale with dedicated maintenance/reliability function and capex for PdM.', 'confidence': 'HIGH'}, 'physical_footprint': {'dimension': 'Physical Footprint', 'score': 2, 'max_score': 2, 'evidence': '10 industrial facilities discovered (plants/mines/refineries) — deep footprint, large sensor expansion potential.', 'confidence': 'HIGH'}, 'equipment_dependency': {'dimension': 'Equipment Dependency', 'score': 1, 'max_score': 1, 'evidence': 'Rotating machinery indicators found: conveyor. These are exactly what Tractian sensors monitor.', 'confidence': 'MED'}, 'score_confidence': 'HIGH', 'plain_english': ""Cargill scored 10/10 on Tractian's ICP rubric. | Industry Fit 4/4: Tier-4 process industry: beverages, meat processing | Operational Scale 3/3: 160,000 (2024) December 2024 announces layoffs at Wayzata HQ, glob employees, (2022) revenue — enterprise scale with dedicated maintenance/reliability function and capex for PdM. | Physical Footprint 2/2: 10 industrial facilities discovered (plants/mines/refineries) — deep footprint, large sensor expansion potential. | Equipment Dependency 1/1: Rotating machinery indicators found: conveyor. These are exactly what Tractian sensors monitor. | RECOMMENDATION: High-priority target.""}","Western India, India",Western India,,India,9.9659267,76.2928134,Manufacturing Plant,chocolate manufacturing operation producing chocolate compounds,HIGH,False,https://www.cargill.com/2020/cargill-launches-first-chocolate-manufacturing-operation-in-asia,WEBSITE,1,strong,9,,,"{'total': 9, 'domain': {'points': 4, 'max': 5, 'label': 'Company-own domain'}, 'quote': {'points': 5, 'max': 5, 'raw_length': 182, 'components': [{'name': 'Length', 'points': 2, 'max': 2, 'detail': '182 chars (long)'}, {'name': 'Company name in quote', 'points': 1, 'max': 1, 'detail': 'present'}, {'name': 'City in quote', 'points': 1, 'max': 1, 'detail': 'present'}, {'name': 'Country in quote', 'points': 1, 'max': 1, 'detail': 'present'}, {'name': 'Industrial keywords', 'points': 1, 'max': 2, 'detail': 'manufacturing'}]}}","{'strength': 'strong', 'hit_count': 5, 'max_hit_score': 6, 'sample_urls': ['https://www.world-grain.com/articles/21129-cargill-inaugurates-corn-mill-in-india', 'https://www.cargill.co.in/en/2025/cargill-inaugurates-new-corn-milling-plant', 'https://www.cargill.com/2020/cargill-launches-first-chocolate-manufacturing-operation-in-asia', 'https://www.confectionerynews.com/Article/2020/06/24/Cargill-reveals-plans-to-open-chocolate-making-plant-in-India/', 'https://www.ift.org/news-and-publications/news/2020/june/23/cargill-launches-first-chocolate-manufacturing-operation-in-asia'], 'category': 'industrial'}",2026-04-16
Cargill,cargill.com,10,"{'total': 10, 'industry_fit': {'dimension': 'Industry Fit', 'score': 4, 'max_score': 4, 'evidence': 'Tier-4 process industry: beverages, meat processing', 'confidence': 'HIGH'}, 'operational_scale': {'dimension': 'Operational Scale', 'score': 3, 'max_score': 3, 'evidence': '160,000 (2024) December 2024 announces layoffs at Wayzata HQ, glob employees, (2022) revenue — enterprise scale with dedicated maintenance/reliability function and capex for PdM.', 'confidence': 'HIGH'}, 'physical_footprint': {'dimension': 'Physical Footprint', 'score': 2, 'max_score': 2, 'evidence': '10 industrial facilities discovered (plants/mines/refineries) — deep footprint, large sensor expansion potential.', 'confidence': 'HIGH'}, 'equipment_dependency': {'dimension': 'Equipment Dependency', 'score': 1, 'max_score': 1, 'evidence': 'Rotating machinery indicators found: conveyor. These are exactly what Tractian sensors monitor.', 'confidence': 'MED'}, 'score_confidence': 'HIGH', 'plain_english': ""Cargill scored 10/10 on Tractian's ICP rubric. | Industry Fit 4/4: Tier-4 process industry: beverages, meat processing | Operational Scale 3/3: 160,000 (2024) December 2024 announces layoffs at Wayzata HQ, glob employees, (2022) revenue — enterprise scale with dedicated maintenance/reliability function and capex for PdM. | Physical Footprint 2/2: 10 industrial facilities discovered (plants/mines/refineries) — deep footprint, large sensor expansion potential. | Equipment Dependency 1/1: Rotating machinery indicators found: conveyor. These are exactly what Tractian sensors monitor. | RECOMMENDATION: High-priority target.""}","Makassar, Indonesia",Makassar,,Indonesia,-5.1342962,119.4124282,Processing Plant,cocoa trading and supply management facility,HIGH,False,https://www.cargill.com/2020/cargill-launches-first-chocolate-manufacturing-operation-in-asia,WEBSITE,1,strong,8,,,"{'total': 8, 'domain': {'points': 4, 'max': 5, 'label': 'Company-own domain'}, 'quote': {'points': 4, 'max': 5, 'raw_length': 152, 'components': [{'name': 'Length', 'points': 1, 'max': 2, 'detail': '152 chars (medium)'}, {'name': 'Company name in quote', 'points': 1, 'max': 1, 'detail': 'present'}, {'name': 'City in quote', 'points': 1, 'max': 1, 'detail': 'present'}, {'name': 'Country in quote', 'points': 1, 'max': 1, 'detail': 'present'}, {'name': 'Industrial keywords', 'points': 0, 'max': 2, 'detail': 'none matched'}]}}","{'strength': 'strong', 'hit_count': 4, 'max_hit_score': 6, 'sample_urls': ['https://www.cargill.com/2020/cargill-launches-first-chocolate-manufacturing-operation-in-asia', 'https://www.confectionerynews.com/Article/2014/12/10/Cargill-Indonesia-plant-opens/', 'https://www.cargill.com/story/serving-asias-sweet-tooth', 'https://www.bakingbusiness.com/articles/51272-cargill-to-open-first-chocolate-manufacturing-plant-in-asia'], 'category': 'industrial'}",2026-04-16
Cargill,cargill.com,10,"{'total': 10, 'industry_fit': {'dimension': 'Industry Fit', 'score': 4, 'max_score': 4, 'evidence': 'Tier-4 process industry: beverages, meat processing', 'confidence': 'HIGH'}, 'operational_scale': {'dimension': 'Operational Scale', 'score': 3, 'max_score': 3, 'evidence': '160,000 (2024) December 2024 announces layoffs at Wayzata HQ, glob employees, (2022) revenue — enterprise scale with dedicated maintenance/reliability function and capex for PdM.', 'confidence': 'HIGH'}, 'physical_footprint': {'dimension': 'Physical Footprint', 'score': 2, 'max_score': 2, 'evidence': '10 industrial facilities discovered (plants/mines/refineries) — deep footprint, large sensor expansion potential.', 'confidence': 'HIGH'}, 'equipment_dependency': {'dimension': 'Equipment Dependency', 'score': 1, 'max_score': 1, 'evidence': 'Rotating machinery indicators found: conveyor. These are exactly what Tractian sensors monitor.', 'confidence': 'MED'}, 'score_confidence': 'HIGH', 'plain_english': ""Cargill scored 10/10 on Tractian's ICP rubric. | Industry Fit 4/4: Tier-4 process industry: beverages, meat processing | Operational Scale 3/3: 160,000 (2024) December 2024 announces layoffs at Wayzata HQ, glob employees, (2022) revenue — enterprise scale with dedicated maintenance/reliability function and capex for PdM. | Physical Footprint 2/2: 10 industrial facilities discovered (plants/mines/refineries) — deep footprint, large sensor expansion potential. | Equipment Dependency 1/1: Rotating machinery indicators found: conveyor. These are exactly what Tractian sensors monitor. | RECOMMENDATION: High-priority target.""}","Gresik, Indonesia",Gresik,,Indonesia,-5.7933465,112.6598223,Processing Plant,cocoa processing plant producing premium cocoa products,HIGH,False,https://www.cargill.com/2020/cargill-launches-first-chocolate-manufacturing-operation-in-asia,WEBSITE,1,strong,9,,,"{'total': 9, 'domain': {'points': 4, 'max': 5, 'label': 'Company-own domain'}, 'quote': {'points': 5, 'max': 5, 'raw_length': 111, 'components': [{'name': 'Length', 'points': 1, 'max': 2, 'detail': '111 chars (medium)'}, {'name': 'Company name in quote', 'points': 1, 'max': 1, 'detail': 'present'}, {'name': 'City in quote', 'points': 1, 'max': 1, 'detail': 'present'}, {'name': 'Country in quote', 'points': 1, 'max': 1, 'detail': 'present'}, {'name': 'Industrial keywords', 'points': 2, 'max': 2, 'detail': 'processing, plant'}]}}","{'strength': 'strong', 'hit_count': 12, 'max_hit_score': 6, 'sample_urls': ['https://www.cargill.com/2024/cargill-launches-new-cocoa-production-line-in-indonesia', 'https://www.cargill.com/2020/cargill-launches-first-chocolate-manufacturing-operation-in-asia', 'https://www.foodprocessing-technology.com/projects/cargill-cocoa-processing-facility-gresik-east-java/', 'https://www.cargill.com/2023/cargill-unveils-asia-most-advanced-cocoa-development-center', 'https://manufacturingdigital.com/articles/cargill-facility'], 'category': 'industrial'}",2026-04-16
Cargill,cargill.com,10,"{'total': 10, 'industry_fit': {'dimension': 'Industry Fit', 'score': 4, 'max_score': 4, 'evidence': 'Tier-4 process industry: beverages, meat processing', 'confidence': 'HIGH'}, 'operational_scale': {'dimension': 'Operational Scale', 'score': 3, 'max_score': 3, 'evidence': '160,000 (2024) December 2024 announces layoffs at Wayzata HQ, glob employees, (2022) revenue — enterprise scale with dedicated maintenance/reliability function and capex for PdM.', 'confidence': 'HIGH'}, 'physical_footprint': {'dimension': 'Physical Footprint', 'score': 2, 'max_score': 2, 'evidence': '10 industrial facilities discovered (plants/mines/refineries) — deep footprint, large sensor expansion potential.', 'confidence': 'HIGH'}, 'equipment_dependency': {'dimension': 'Equipment Dependency', 'score': 1, 'max_score': 1, 'evidence': 'Rotating machinery indicators found: conveyor. These are exactly what Tractian sensors monitor.', 'confidence': 'MED'}, 'score_confidence': 'HIGH', 'plain_english': ""Cargill scored 10/10 on Tractian's ICP rubric. | Industry Fit 4/4: Tier-4 process industry: beverages, meat processing | Operational Scale 3/3: 160,000 (2024) December 2024 announces layoffs at Wayzata HQ, glob employees, (2022) revenue — enterprise scale with dedicated maintenance/reliability function and capex for PdM. | Physical Footprint 2/2: 10 industrial facilities discovered (plants/mines/refineries) — deep footprint, large sensor expansion potential. | Equipment Dependency 1/1: Rotating machinery indicators found: conveyor. These are exactly what Tractian sensors monitor. | RECOMMENDATION: High-priority target.""}","Lannilis, France",Lannilis,,France,48.569633,-4.5215472,Processing Plant,alginate production facility from seaweed extraction,HIGH,False,https://www.cargill.com/food-beverage/emea/emea-locations,WEBSITE,1,strong,8,,,"{'total': 8, 'domain': {'points': 4, 'max': 5, 'label': 'Company-own domain'}, 'quote': {'points': 4, 'max': 5, 'raw_length': 137, 'components': [{'name': 'Length', 'points': 1, 'max': 2, 'detail': '137 chars (medium)'}, {'name': 'Company name in quote', 'points': 1, 'max': 1, 'detail': 'present'}, {'name': 'City in quote', 'points': 1, 'max': 1, 'detail': 'present'}, {'name': 'Country in quote', 'points': 1, 'max': 1, 'detail': 'present'}, {'name': 'Industrial keywords', 'points': 0, 'max': 2, 'detail': 'none matched'}]}}","{'strength': 'strong', 'hit_count': 3, 'max_hit_score': 6, 'sample_urls': ['https://www.cargill.com/food-beverage/emea/emea-locations', 'https://www.dairyreporter.com/Article/2016/09/19/Algaia-acquires-Cargill-s-alginate-business/', 'https://www.cargill.com/news/releases/2013/NA3077243.jsp'], 'category': 'industrial'}",2026-04-16
Cargill,cargill.com,10,"{'total': 10, 'industry_fit': {'dimension': 'Industry Fit', 'score': 4, 'max_score': 4, 'evidence': 'Tier-4 process industry: beverages, meat processing', 'confidence': 'HIGH'}, 'operational_scale': {'dimension': 'Operational Scale', 'score': 3, 'max_score': 3, 'evidence': '160,000 (2024) December 2024 announces layoffs at Wayzata HQ, glob employees, (2022) revenue — enterprise scale with dedicated maintenance/reliability function and capex for PdM.', 'confidence': 'HIGH'}, 'physical_footprint': {'dimension': 'Physical Footprint', 'score': 2, 'max_score': 2, 'evidence': '10 industrial facilities discovered (plants/mines/refineries) — deep footprint, large sensor expansion potential.', 'confidence': 'HIGH'}, 'equipment_dependency': {'dimension': 'Equipment Dependency', 'score': 1, 'max_score': 1, 'evidence': 'Rotating machinery indicators found: conveyor. These are exactly what Tractian sensors monitor.', 'confidence': 'MED'}, 'score_confidence': 'HIGH', 'plain_english': ""Cargill scored 10/10 on Tractian's ICP rubric. | Industry Fit 4/4: Tier-4 process industry: beverages, meat processing | Operational Scale 3/3: 160,000 (2024) December 2024 announces layoffs at Wayzata HQ, glob employees, (2022) revenue — enterprise scale with dedicated maintenance/reliability function and capex for PdM. | Physical Footprint 2/2: 10 industrial facilities discovered (plants/mines/refineries) — deep footprint, large sensor expansion potential. | Equipment Dependency 1/1: Rotating machinery indicators found: conveyor. These are exactly what Tractian sensors monitor. | RECOMMENDATION: High-priority target.""}","Newark, USA",Newark,,USA,40.735657,-74.1723667,Processing Plant,sea salt production facility from seawater,HIGH,False,https://www.cargill.com/story/future-protein-operations,WEBSITE,1,strong,7,,,"{'total': 7, 'domain': {'points': 4, 'max': 5, 'label': 'Company-own domain'}, 'quote': {'points': 3, 'max': 5, 'raw_length': 113, 'components': [{'name': 'Length', 'points': 1, 'max': 2, 'detail': '113 chars (medium)'}, {'name': 'Company name in quote', 'points': 1, 'max': 1, 'detail': 'present'}, {'name': 'City in quote', 'points': 1, 'max': 1, 'detail': 'present'}, {'name': 'Country in quote', 'points': 0, 'max': 1, 'detail': 'absent'}, {'name': 'Industrial keywords', 'points': 0, 'max': 2, 'detail': 'none matched'}]}}","{'strength': 'strong', 'hit_count': 8, 'max_hit_score': 6, 'sample_urls': ['https://www.cargill.com/story/future-protein-operations', 'https://en.wikipedia.org/wiki/Cargill', 'https://www.cargill.com/story/how-sea-salt-is-made', 'https://www.newark-chamber.com/list/member/cargill-58', 'https://www.cargill.com/page/sf/sf-bay-salt-ponds'], 'category': 'industrial'}",2026-04-16
